ZIPCODE,TEAMCODE,ZIP
77002,APT/HTL,137
77002,GO,245
77002,HazMatHiPi,192
77002,HighRise,1466
77002,PlanCk,20
77002,SCH/INS,141
77002,SpecialOps,214
77002,Weekends,2
77003,APT/HTL,86
77003,GO,189
77003,HazMatHiPi,191
77003,HighRise,115
77003,PlanCk,13
77003,SCH/INS,151
77003,SpecialOps,160
77003,Weekends,4
77004,APT/HTL,381
77004,GO,190
77004,HazMatHiPi,143
77004,HighRise,162
77004,PlanCk,15
77004,SCH/INS,407
77004,SpecialOps,170
77004,Weekends,3
77005,APT/HTL,87
77005,GO,105
77005,HazMatHiPi,83
77005,HighRise,75
77005,PlanCk,6
77005,SCH/INS,45
77005,SpecialOps,53
77006,APT/HTL,158
77006,GO,190
77006,HazMatHiPi,173
77006,HighRise,142
77006,PlanCk,17
77006,SCH/INS,99
77006,SpecialOps,133
77006,Weekends,3
77007,APT/HTL,194
77007,GO,314
77007,HazMatHiPi,458
77007,HighRise,248
77007,PlanCk,13
77007,SCH/INS,207
77007,SpecialOps,167
77007,Weekends,7
77008,APT/HTL,287
77008,GO,412
77008,HazMatHiPi,182
77008,HighRise,408
77008,PlanCk,9
77008,SCH/INS,225
77008,SpecialOps,132
77008,Weekends,1
77009,APT/HTL,87
77009,GO,255
77009,HazMatHiPi,111
77009,HighRise,129
77009,PlanCk,17
77009,SCH/INS,189
77009,SpecialOps,99
77009,Weekends,6
77010,APT/HTL,2
77010,GO,4
77010,HazMatHiPi,5
77010,HighRise,47
77010,SCH/INS,4
77010,SpecialOps,197
77011,APT/HTL,78
77011,GO,1031
77011,HazMatHiPi,110
77011,HighRise,41
77011,PlanCk,3
77011,SCH/INS,108
77011,SpecialOps,40
77011,Weekends,1
77012,APT/HTL,31
77012,GO,214
77012,HazMatHiPi,54
77012,HighRise,29
77012,PlanCk,4
77012,SCH/INS,226
77012,SpecialOps,35
77013,APT/HTL,41
77013,GO,419
77013,HazMatHiPi,27
77013,HighRise,9
77013,PlanCk,3
77013,SCH/INS,53
77013,SpecialOps,54
77014,APT/HTL,21
77014,GO,5
77014,HazMatHiPi,1
77014,HighRise,1
77014,PlanCk,1
77015,APT/HTL,15
77015,GO,150
77015,HazMatHiPi,65
77015,HighRise,55
77015,PlanCk,16
77015,SCH/INS,94
77015,SpecialOps,50
77016,APT/HTL,40
77016,GO,419
77016,HazMatHiPi,42
77016,HighRise,26
77016,PlanCk,3
77016,SCH/INS,141
77016,SpecialOps,45
77016,Weekends,76
77017,APT/HTL,190
77017,GO,485
77017,HazMatHiPi,71
77017,HighRise,57
77017,PlanCk,5
77017,SCH/INS,168
77017,SpecialOps,100
77018,APT/HTL,241
77018,GO,247
77018,HazMatHiPi,149
77018,HighRise,82
77018,PlanCk,10
77018,SCH/INS,237
77018,SpecialOps,76
77019,APT/HTL,83
77019,GO,171
77019,HazMatHiPi,127
77019,HighRise,175
77019,PlanCk,4
77019,SCH/INS,159
77019,SpecialOps,88
77019,Weekends,2
77020,APT/HTL,37
77020,GO,285
77020,HazMatHiPi,114
77020,HighRise,47
77020,PlanCk,8
77020,SCH/INS,192
77020,SpecialOps,45
77020,Weekends,1
77021,APT/HTL,96
77021,GO,462
77021,HazMatHiPi,156
77021,HighRise,29
77021,PlanCk,8
77021,SCH/INS,175
77021,SpecialOps,90
77021,Weekends,1
77022,APT/HTL,154
77022,GO,715
77022,HazMatHiPi,96
77022,HighRise,130
77022,PlanCk,16
77022,SCH/INS,320
77022,SpecialOps,105
77023,APT/HTL,79
77023,GO,556
77023,HazMatHiPi,145
77023,HighRise,38
77023,PlanCk,1
77023,SCH/INS,151
77023,SpecialOps,64
77024,APT/HTL,154
77024,GO,145
77024,HazMatHiPi,71
77024,HighRise,89
77024,PlanCk,9
77024,SCH/INS,209
77024,SpecialOps,33
77024,Weekends,1
77025,APT/HTL,109
77025,GO,119
77025,HazMatHiPi,30
77025,HighRise,27
77025,PlanCk,1
77025,SCH/INS,121
77025,SpecialOps,34
77026,APT/HTL,20
77026,GO,141
77026,HazMatHiPi,91
77026,HighRise,80
77026,PlanCk,5
77026,SCH/INS,128
77026,SpecialOps,72
77027,APT/HTL,116
77027,GO,217
77027,HazMatHiPi,70
77027,HighRise,589
77027,PlanCk,5
77027,SCH/INS,90
77027,SpecialOps,42
77028,APT/HTL,20
77028,GO,143
77028,HazMatHiPi,112
77028,HighRise,12
77028,PlanCk,2
77028,SCH/INS,84
77028,SpecialOps,11
77029,APT/HTL,19
77029,GO,65
77029,HazMatHiPi,398
77029,HighRise,20
77029,PlanCk,2
77029,SCH/INS,46
77029,SpecialOps,36
77030,APT/HTL,208
77030,GO,49
77030,HazMatHiPi,24
77030,HighRise,177
77030,SCH/INS,82
77030,SpecialOps,14
77031,APT/HTL,59
77031,GO,27
77031,HazMatHiPi,11
77031,HighRise,14
77031,PlanCk,2
77031,SCH/INS,73
77031,SpecialOps,12
77032,APT/HTL,8
77032,GO,252
77032,HazMatHiPi,55
77032,HighRise,7
77032,SCH/INS,6
77032,SpecialOps,58
77032,Weekends,1
77033,APT/HTL,34
77033,GO,274
77033,HazMatHiPi,163
77033,HighRise,3
77033,PlanCk,7
77033,SCH/INS,84
77033,SpecialOps,51
77034,APT/HTL,248
77034,GO,607
77034,HazMatHiPi,135
77034,HighRise,53
77034,PlanCk,2
77034,SCH/INS,93
77034,SpecialOps,100
77034,Weekends,1
77035,APT/HTL,96
77035,GO,123
77035,HazMatHiPi,74
77035,HighRise,33
77035,PlanCk,3
77035,SCH/INS,128
77035,SpecialOps,28
77036,APT/HTL,213
77036,GO,222
77036,HazMatHiPi,149
77036,HighRise,265
77036,PlanCk,9
77036,SCH/INS,336
77036,SpecialOps,107
77037,APT/HTL,22
77037,GO,173
77037,HazMatHiPi,29
77037,HighRise,66
77037,PlanCk,2
77037,SCH/INS,105
77037,SpecialOps,41
77038,APT/HTL,3
77038,GO,42
77038,HazMatHiPi,12
77038,HighRise,10
77038,PlanCk,1
77038,SCH/INS,3
77038,SpecialOps,4
77039,APT/HTL,1
77039,GO,1
77039,HazMatHiPi,1
77039,HighRise,3
77040,APT/HTL,232
77040,GO,547
77040,HazMatHiPi,296
77040,HighRise,69
77040,PlanCk,5
77040,SCH/INS,101
77040,SpecialOps,45
77041,APT/HTL,49
77041,GO,135
77041,HazMatHiPi,214
77041,HighRise,14
77041,PlanCk,2
77041,SCH/INS,48
77041,SpecialOps,25
77042,APT/HTL,185
77042,GO,93
77042,HazMatHiPi,92
77042,HighRise,178
77042,PlanCk,3
77042,SCH/INS,218
77042,SpecialOps,23
77043,APT/HTL,52
77043,GO,124
